[,latitude,longitude,]
[,31.78416,-106.35617,]
[,41.4674,-86.48257,]
[,38.92553,-75.56529,]
[,32.76825,-96.646,]
[,34.61338,-83.53043,]
[,38.21379,-75.69855,]
[,41.28565,-95.91327,]
[,30.11824,-93.7475,]
[,31.31982,-95.45782,]
[,38.79835,-85.84187,]
[,34.53855,-79.29013,]
[,42.76391,-84.5427,]
[,33.24249,-97.13712,]
[,43.15495,-93.20103,]
[,38.06471,-91.40425,]
[,35.38699,-77.99896,]
[,30.11559,-85.19931,]
[,42.57363,-77.58965,]
[,38.08781,-97.90372,]
[,35.99131,-86.52638,]
[,38.62085,-95.26833,]
[,32.93758,-97.25356,]
[,38.28643,-95.24924,]
[,36.41347,-90.58643,]
[,31.47313,-97.11783,]
[,38.00717,-87.59995,]
[,31.72127,-84.21962,]
[,43.35677,-97.42049,]
[,40.74112,-93.74583,]
[,32.45609,-81.78873,]
[,38.99334,-93.5725,]
[,32.15788,-94.37145,]
[,38.98142,-92.29182,]
[,33.29468,-86.81214,]
[,31.78468,-106.45855,]
[,34.59862,-84.86472,]
[,42.36905438,-83.34177772,]
[,39.48477,-88.34697,]
[,34.83335,-89.17398,]
[,32.8899,-83.67642,]
[,40.1654,-92.17517,]
[,40.43865,-95.37703,]
[,36.16806,-95.52959,]
[,36.30672,-96.46388,]
[,33.60377,-80.35345,]
[,39.7613,-89.60743,]
[,28.81798,-82.31591,]
[,43.65145,-96.21292,]
[,36.63626,-80.26988,]
[,34.17542,-82.37681,]
[,33.20592,-82.38959,]
[,41.52187,-85.36697,]
[,42.10044,-84.24787,]
[,34.63559,-99.33383,]
[,43.17822,-85.2757,]
[,32.83355,-85.22898,]
[,26.27694,-98.18241,]
[,34.75870174,-87.63483501,]
[,35.07396,-106.57749,]
[,42.52,-82.98817,]
[,43.62996,-96.94265,]
[,34.83458,-97.59835,]
[,35.42496,-91.83557,]
[,30.7897,-89.86485,]
[,38.58217,-89.90965,]
[,37.61563,-84.57935,]
[,33.90705,-86.6169,]
[,37.15325,-92.75407,]
[,40.38396,-80.01579,]
[,38.57469,-75.56556,]
[,33.18406,-95.2336,]
[,26.24491,-98.44594,]
[,40.71251,-75.22063,]
[,43.05407,-75.86915,]
[,32.3101,-96.01009,]
[,35.60765,-82.35043,]
[,34.74791,-86.78857,]
[,33.66674,-101.68374,]
[,30.8793,-96.59613,]
[,38.34693,-92.58534,]
[,38.62095,-94.67983,]
[,31.89734,-98.60622,]
[,31.72512,-96.16283,]
[,39.8208,-100.53153,]
[,35.28033,-81.54707,]
[,32.32661,-96.62945,]
[,29.28987,-97.1518,]
[,35.99672,-76.95011,]
[,36.10397,-78.46673,]
[,37.94235,-93.31741,]
[,35.04992,-97.93579,]
[,30.99057,-83.37578,]
[,36.99702,-85.91473,]
[,41.95759,-87.9439,]
[,34.64766,-97.9579,]
[,32.55858,-84.09918,]
[,30.46101,-87.2945,]
[,26.26503,-98.36587,]
[,37.6359,-91.53814,]
[,35.91532,-82.30267,]
[,33.46153,-94.42387,]
[,40.95279,-75.97972,]
[,36.07711164,-80.1786951,]
[,38.29585,-80.83894,]
[,40.80037,-91.13986,]
[,42.91367,-85.74166,]
[,38.80687,-82.20697,]
[,33.90831,-98.53063,]
[,33.94157,-83.44611,]
[,28.97226,-95.96971,]
[,41.03281,-82.01623,]
[,29.84575,-90.11962,]
[,34.58218767,-84.94484509,]
[,36.38042,-81.48761,]
[,30.17115,-81.74677,]
[,37.2695,-77.41184,]
[,39.87103,-77.02757,]
[,37.09256,-81.78015,]
[,30.10517,-84.38003,]
[,40.38154,-80.05254,]
[,34.29505,-81.62168,]
[,35.31694,-81.18993,]
[,39.72673045,-84.05379316,]
[,42.9708,-78.87107,]
[,32.80352,-97.26465,]
[,39.02028,-84.59216,]
[,39.36504,-84.54471,]
[,30.43872,-81.70048,]
[,35.59963,-77.33326,]
[,41.12511,-101.71647,]
[,37.30527,-77.28407,]
[,39.52291,-85.76917,]
[,34.68172,-99.91592,]
[,35.98005,-96.77001,]
[,31.72999,-98.976,]
[,37.6464,-98.10948,]
[,35.78998,-77.63451,]
[,42.45562,-98.63348,]
[,41.91796,-91.38157,]
[,33.50742,-102.00244,]
[,35.2321,-96.23893,]
[,36.99454087,-86.44220166,]
[,35.29178,-81.53529,]
[,30.10634,-92.06917,]
[,33.54067,-89.261,]
[,31.08532,-97.78392,]
[,41.09736,-85.0998,]
[,28.6991,-81.30202,]
[,36.38999,-93.71864,]
[,31.10452,-97.70587,]
[,42.09449,-76.06535,]
[,30.02024,-95.37968,]
[,30.05576,-95.91312,]
[,29.93933,-98.40619,]
[,34.02711,-78.06493,]
[,36.73231,-78.91843,]
[,36.03327,-84.32822,]
[,42.52324,-82.89875,]
[,43.1903,-86.16629,]
[,33.09008,-89.86749,]
[,34.08382385,-82.20771545,]
[,33.241,-86.47878,]
[,34.1991,-87.17011,]
[,41.72842,-95.70252,]
[,29.57394,-90.72585,]
[,35.42974,-84.47872,]
[,36.20882,-83.74493,]
[,36.09629,-87.04409,]
[,32.2828,-90.11647,]
[,32.62471,-93.25327,]
[,39.14171,-76.63067,]
[,38.38758,-93.77911,]
[,33.92593,-98.50615,]
[,30.07325,-99.22491,]
[,32.21424,-90.15449,]
[,37.0391,-78.47987,]
[,34.89312,-79.7013,]
[,42.14375,-76.81464,]
[,32.52276,-92.08582,]
[,31.71343,-85.60838,]
[,41.53192,-87.25471,]
[,37.41753,-95.67796,]
[,36.25726,-86.65757,]
[,34.10695,-86.87187,]
[,29.48021,-81.12986,]
[,37.07163,-94.12616,]
[,31.69226,-89.14661,]
[,33.98795,-101.34124,]
[,44.83694157,-87.37887679,]
[,37.88634,-87.04947,]
[,41.28725,-96.05276,]
[,32.82784,-92.65859,]
[,32.9034,-80.66436,]
[,36.32528,-86.71379,]
[,41.33635,-92.20515,]
[,34.1661,-98.00141,]
[,30.25826,-94.19858,]
[,30.66344,-93.89377,]
[,31.98812,-102.13241,]
[,38.78875,-94.26216,]
[,31.63919,-95.57863,]
[,35.52825,-98.69402,]
[,33.87932,-87.50362,]
[,35.30823,-99.63741,]
[,33.41131,-82.02608,]
[,34.80636,-82.60164,]
[,36.00958,-79.80505,]
[,38.73325,-89.89461,]
[,35.21367,-81.16669,]
[,42.07708,-73.95193,]
[,32.03255,-82.50891,]
[,40.09612,-80.72402,]
[,38.40179,-91.32909,]
[,37.18987,-77.37148,]
[,28.91199,-81.91961,]
[,43.54459,-96.76108,]
[,37.26598,-95.55562,]
[,40.5201,-78.37892,]
[,37.11319,-93.05804,]
[,32.75528,-97.79742,]
[,34.19851,-92.00706,]
[,35.06346,-89.9058,]
[,40.90445,-89.4941,]
[,37.63855,-97.35267,]
[,30.9181,-93.99674,]
[,29.85027,-84.66266,]
[,29.7624,-82.05505,]
[,33.20335,-87.57639,]
[,30.14646,-82.63925,]
[,34.36104,-84.04092,]
[,36.08238,-88.81258,]
[,31.3791,-94.76715,]
[,28.0129,-81.91299,]
[,35.51685,-77.09526,]
[,31.24669,-81.50729,]
[,35.02748,-91.95404,]
[,44.29466,-91.23451,]
[,32.66227143,-96.87138973,]
[,35.11985,-81.51887,]
[,34.99791,-78.09695,]
[,31.99951,-102.11442,]
[,42.91525,-78.88989,]
[,30.5881,-84.58056,]
[,37.98191,-75.8521,]
[,42.10827,-91.28825,]
[,37.22569,-95.74667,]
[,32.14505,-82.78007,]
[,37.74543,-89.08242,]
[,33.47008,-82.05324,]
[,44.29489,-94.43803,]
[,33.54873,-101.88541,]
[,32.92986,-80.07124,]
[,40.54756,-89.60199,]
[,34.66029,-85.73797,]
[,36.15135,-86.62776,]
[,43.10392,-77.75285,]
[,38.36557,-75.57463,]
[,40.83509,-81.38903,]
[,42.11029,-75.93707,]
[,34.23831,-84.94626,]
[,33.18205,-86.61512,]
[,35.84282,-83.22303,]
[,44.88707,-84.29278,]
[,30.68946,-88.12075,]
[,33.42058,-82.06696,]
[,37.77282,-87.10844,]
[,40.40836,-79.90839,]
[,45.40139,-91.85373,]
[,41.88994,-87.97117,]
[,39.69403,-86.10749,]
[,34.13682,-109.95092,]
[,38.77079,-93.73241,]
[,41.06597,-80.05331,]
[,32.18009,-91.72645,]
[,31.7497,-89.65414,]
[,39.43543,-91.0687,]
[,34.96271,-90.04848,]
[,39.32703,-81.54849,]
[,36.83537,-76.30021,]
[,34.27407,-84.7476,]
[,33.54168,-88.43736,]
[,36.34259,-92.38169,]
[,34.06643,-78.88107,]
[,40.01730705,-83.1578953,]
[,36.79293,-76.08093,]
[,35.70869,-94.94424,]
[,42.31623,-88.43831,]
[,42.50542,-90.72202,]
[,41.15884,-81.44251,]
[,30.56347,-91.55253,]
[,40.5849,-79.70734,]
[,36.52542,-87.35669,]
[,30.60832,-85.71967,]
[,36.86735,-87.81579,]
[,43.11189,-94.69139,]
[,32.429,-85.03185,]
[,32.02142,-106.40907,]
[,40.24181,-83.33924,]
[,45.47477,-89.72918,]
[,32.46798,-97.38448,]
[,35.69858,-88.82965,]
[,38.56106,-85.54226,]
[,41.34169,-86.29622,]
[,44.86137,-92.62444,]
[,38.04572,-97.34505,]
[,33.45369,-94.04306,]
[,38.7207,-90.12269,]
[,41.63704,-83.47099,]
[,30.69832,-88.12155,]
[,33.46764526,-86.82011037,]
[,34.79403,-86.74992,]
[,35.84715,-81.47598,]
[,40.90322,-76.77673,]
[,42.02485,-88.18132,]
[,38.89225,-82.57375,]
[,32.58508,-96.8571,]
[,31.85661,-88.69817,]
[,39.89645,-82.99532,]
[,34.6904,-82.19685,]
[,30.12204,-94.01158,]
[,35.68139,-81.37656,]
[,36.78647,-95.93506,]
[,35.08269,-80.88609,]
[,31.57381,-84.22076,]
[,39.7846,-74.91962,]
[,33.60432,-83.97266,]
[,41.55512,-93.59674,]
[,42.4359,-87.82556,]
[,31.44571,-100.47928,]
[,38.15838,-83.21809,]
[,37.49987,-82.53585,]
[,37.35209,-84.34602,]
[,35.49767,-76.02956,]
[,33.2833,-86.362,]
[,27.52166,-82.53185,]
[,39.51514,-86.7942,]
[,35.61342,-90.33337,]
[,37.21218,-93.34353,]
[,29.42518551,-98.49649169,]
[,41.4524,-85.27063,]
[,30.67159,-98.45477,]
[,42.37903,-88.09118,]
[,32.7573,-98.93678,]
[,34.91592,-82.31834,]
[,30.42991,-90.54836,]
[,35.75474,-77.91712,]
[,42.11069,-76.0215,]
[,38.47441,-81.83302,]
[,41.53745,-87.44822,]
[,40.81498,-91.14334,]
[,39.64025,-84.24369,]
[,41.20319,-77.25782,]
[,36.1889,-84.05872,]
[,36.85404736,-84.83995193,]
[,33.97404,-83.28948,]
[,34.80688,-82.3799,]
[,38.99228,-74.93616,]
[,35.07668731,-78.93537204,]
[,32.87477,-96.61658,]
[,42.96425,-77.84279,]
[,34.03452956,-84.52761857,]
[,41.23832,-81.80546,]
[,34.4755,-93.05987,]
[,37.63911619,-77.58866457,]
[,27.5167,-99.46029,]
[,40.03532,-82.9634,]
[,34.85048,-87.69051,]
[,38.52259,-75.05543,]
[,34.04153,-81.53739,]
[,28.43779,-82.63805,]
[,32.20243,-90.2954,]
[,39.48943,-88.39703,]
[,38.50202,-82.6792,]
[,42.90352,-85.66561,]
[,41.82644,-90.52905,]
[,43.40816,-88.69937,]
[,40.36084,-83.75529,]
[,31.46196,-96.06295,]
[,33.44907,-99.6216,]
[,34.16823,-79.84618,]
[,39.7599,-86.1095,]
[,36.63737,-87.43625,]
[,31.791,-106.30212,]
[,35.95698,-80.77169,]
[,36.48473,-82.84721,]
[,33.80386,-78.72346,]
[,30.80763,-85.37663,]
[,35.02993,-82.18486,]
[,36.16925,-87.34961,]
[,33.39778,-90.89805,]
[,32.80166,-83.8018,]
[,35.19296155,-101.7989507,]
[,37.05141,-88.5676,]
[,42.95822,-78.83034,]
[,41.23495,-85.80832,]
[,42.83476,-84.22477,]
[,36.63445,-82.11941,]
[,36.76972,-81.77885,]
[,41.10307,-80.70737,]
[,43.46018,-76.24052,]
[,36.68862,-83.11218,]
[,41.00868,-81.55517,]
[,32.68233,-97.27837,]
[,34.30279,-88.77782,]
[,37.29147,-79.99035,]
[,34.19953,-79.80103,]
[,43.56,-85.77167,]
[,35.3673,-96.92986,]
[,41.77814,-81.04735,]
[,36.43058,-84.93176,]
[,35.94431,-91.54886,]
[,32.56524,-93.78741,]
[,35.69281,-80.42572,]
[,27.36471494,-82.55084224,]
[,29.93,-93.92524,]
[,30.87833,-83.29552,]
[,40.17745,-87.62994,]
[,34.21376,-81.53634,]
[,39.81352,-75.44666,]
[,35.12023,-78.13454,]
[,29.9596,-94.00336,]
[,33.82596,-85.76779,]
[,29.94935,-89.9603,]
[,34.75898,-82.56497,]
[,42.36824249,-83.37074358,]
[,43.80227,-88.47942,]
[,41.18266,-80.75833,]
[,33.6225285,-84.4990881,]
[,30.61761,-87.75304,]
[,33.57705,-79.02546,]
[,38.06837,-83.16473,]
[,36.7725,-76.33611,]
[,26.07313,-97.68453,]
[,36.4711,-81.80783,]
[,29.99736,-90.4128,]
[,39.79432,-94.84592,]
[,35.4063,-97.5107,]
[,42.98012,-78.80874,]
[,34.29327,-83.09759,]
[,35.24161,-106.67031,]
[,37.10496,-89.90469,]
[,36.52833,-93.93772,]
[,44.84766,-74.31896,]
[,29.35762,-98.55296,]
[,35.79985,-80.94067,]
[,32.25463999,-90.22351508,]
[,28.84956,-81.90022,]
[,31.29916,-82.24834,]
[,31.44442,-83.54733,]
[,30.41417,-87.44864,]
[,36.12855,-96.38533,]
[,28.81206,-81.91779,]
[,40.62344,-80.83497,]
[,34.16791,-79.84685,]
[,40.49902,-75.70563,]
[,41.05647,-80.35779,]
[,28.24761,-81.30761,]
[,42.5883,-87.85055,]
[,35.22232,-80.31954,]
[,36.86577,-88.36034,]
[,35.17526,-101.90227,]
[,42.67194,-86.18922,]
[,40.4961,-81.47263,]
[,38.01384,-83.90887,]
[,43.04988,-75.38063,]
[,35.37737,-82.37838,]
[,33.64986,-85.72825,]
[,34.54706,-82.67103,]
[,31.80753,-106.44466,]
[,40.92503,-77.02632,]
[,43.40102,-83.91261,]
[,32.45179984,-97.7362376,]
[,41.92081,-77.53458,]
[,27.93791,-82.22413,]
[,31.53149,-97.15859,]
[,36.01949,-79.86563,]
[,38.74668,-90.57796,]
[,37.32013,-83.96045,]
[,34.9722,-89.68887,]
[,34.64119,-84.51344,]
[,34.61226,-90.1468,]
[,33.53329,-84.19907,]
[,33.83003,-83.86475,]
[,30.61932,-88.19083,]
[,36.01939,-78.94651,]
[,37.13842,-82.76257,]
[,31.89998,-92.23078,]
[,39.71492,-86.23679,]
[,29.70461826,-98.13669294,]
[,35.60234,-82.62392,]
[,37.0306,-88.67045,]
[,33.92302,-81.28955,]
[,32.42112,-86.28465,]
[,43.31423,-73.57707,]
[,38.92513,-81.09327,]
[,43.31884,-83.07988,]
[,31.47249,-90.89304,]
[,28.48586,-82.54359,]
[,32.33221,-86.24609,]
[,41.97678,-91.61771,]
[,33.3349,-89.76733,]
[,39.7934,-75.97723,]
[,35.00273,-82.2541,]
[,37.09838594,-84.62182848,]
[,34.74284,-82.04025,]
[,40.72881,-89.57441,]
[,39.85341002,-75.42649863,]
[,33.90629,-80.37962,]
[,37.30645,-79.93188,]
[,35.10597,-78.87862,]
[,33.46693,-94.09531,]
[,35.37293,-94.39474,]
[,34.41306,-85.0083,]
[,39.73086,-94.83395,]
[,32.68538,-97.01212,]
[,35.17766,-101.86624,]
[,40.15714,-76.38791,]
[,32.12294,-99.16544,]
[,30.75179,-88.11625,]
[,39.84019,-75.72985,]
[,40.35047,-78.94399,]
[,42.66819,-85.9961,]
[,41.09506,-75.58841,]
[,39.00601,-95.6878,]
[,38.1978,-85.78288,]
[,32.62037,-83.70911,]
[,34.27973084,-87.82483707,]
[,41.64249,-81.44211,]
[,30.07724,-90.54961,]
[,42.92064,-76.58878,]
[,36.12151,-89.26878,]
[,44.29867,-84.70736,]
[,36.1751,-94.16826,]
[,30.56073,-90.86906,]
[,42.33905,-83.38246,]
[,37.91209,-85.30682,]
[,34.21619,-83.87112,]
[,41.14737,-80.66531,]
[,39.92564,-78.96333,]
[,26.790564,-80.05426287,]
[,38.22218,-85.81135,]
[,36.71846,-88.62858,]
[,33.89753,-81.06301,]
[,40.03809,-76.40406,]
[,42.10421,-75.8891,]
[,36.7112,-82.79743,]
[,34.63623,-78.97318,]
[,27.99613,-82.42108,]
[,40.79578,-81.89787,]
[,42.30317,-85.53685,]
[,40.94743,-90.36488,]
[,37.0678,-85.06564,]
[,34.64251,-79,]
[,35.80256,-90.69654,]
[,41.19083,-95.96561,]
[,32.85172454,-97.10960333,]
[,28.05573,-81.77946,]
[,34.47164,-85.35353,]
[,29.95329,-91.21294,]
[,33.80632,-79.07774,]
[,34.9309,-88.55865,]
[,39.52237,-82.36942,]
[,40.3831,-79.86622,]
[,28.12283,-81.63984,]
[,43.06936,-76.09714,]
[,39.76385,-81.1255,]
[,33.28973062,-81.03777229,]
[,43.33376,-75.7478,]
[,35.24919,-78.35574,]
[,35.06835,-85.637,]
[,41.27219,-82.60908,]
[,40.27404,-79.8852,]
[,41.10804,-85.11588,]
[,35.54438,-79.78057,]
[,29.80453,-90.81641,]
[,35.50696,-97.61887,]
[,41.88057,-80.74937,]
[,43.87985,-84.48536,]
[,37.26013,-93.26482,]
[,33.44158141,-94.09071293,]
[,33.68486,-78.96159,]
[,37.27607,-77.31128,]
[,42.28097,-83.18185,]
[,40.40983063,-80.52981692,]
[,42.99316,-85.75655,]
[,38.74683,-82.94514,]
[,30.19356,-93.21858,]
[,36.15473,-96.04713,]
[,34.62745,-86.05134,]
[,36.08043,-79.51421,]
[,40.52017,-104.71078,]
[,39.71531,-86.0825,]
[,32.6964,-97.36831,]
[,39.61097,-86.10885,]
[,41.64657,-85.935,]
[,38.19933,-92.83428,]
[,30.63905966,-96.34826333,]
[,42.82964,-78.7732,]
[,29.62394317,-82.37549567,]
[,38.44256,-81.98385,]
[,29.56568,-98.42718,]
[,42.24,-87.99719,]
[,40.13814328,-79.84106893,]
[,30.00726,-81.69296,]
[,33.84608,-86.27032,]
[,35.25447,-79.28526,]
[,42.26665,-83.3838,]
[,27.80064,-97.67491,]
[,28.81636,-81.76363,]
[,35.5111,-94.11101,]
[,41.11917131,-78.76295154,]
[,40.08802,-76.18523,]
[,41.15805,-81.25341,]
[,35.87124,-86.39069,]
[,27.46723,-82.5629,]
[,35.02349,-85.24483,]
[,34.34566,-87.70223,]
[,42.80927,-86.11871,]
[,40.75676,-81.37753,]
[,42.09035,-76.81076,]
[,39.81946,-86.22836,]
[,38.34738,-82.93942,]
[,35.11493,-85.29243,]
[,35.52214,-83.02566,]
[,39.97328698,-82.90236676,]
[,32.82349,-97.16325,]
[,42.26605,-89.04119,]
[,39.08068055,-78.20445745,]
[,41.9381,-73.99986,]
[,38.34878,-77.74529,]
[,41.68025,-89.9413,]
[,36.23472,-86.42954,]
[,35.38909,-84.6894,]
[,34.79062,-82.48863,]
[,35.10661,-85.27229,]
[,34.18279,-85.76249,]
[,39.88871,-82.96799,]
[,40.39849,-80.59135,]
[,39.87286,-81.91469,]
[,35.93229,-94.17997,]
[,29.46589,-98.35948,]
[,36.01373,-77.85704,]
[,41.21647,-85.31466,]
[,42.21418,-88.25067,]
[,33.87776,-98.49435,]
[,40.16811,-78.59427,]
[,29.65743,-81.66627,]
[,42.83319,-77.87583,]
[,34.17756,-77.89121,]
[,39.49783,-84.33565,]
[,39.71301,-86.14902,]
[,42.77752,-88.9603,]
[,41.24353,-87.83555,]
[,44.60495,-88.76488,]
[,29.54397,-95.27515,]
[,39.05476,-94.41473,]
[,31.17434,-85.40213,]
[,36.82996,-76.0958,]
[,32.72082,-96.61413,]
[,35.79829,-90.66965,]
[,33.98509,-86.58736,]
[,28.23002,-82.21146,]
[,33.48132,-80.86838,]
[,27.20939,-80.82999,]
[,37.16921,-87.03373,]
[,38.19654,-84.82971,]
[,32.41865,-84.94469,]
[,39.16468,-86.5794,]
[,32.73426,-82.73209,]
[,31.87796,-102.3835,]
[,32.33868,-80.93047,]
[,43.05672,-74.32845,]
[,33.86136528,-84.59752794,]
[,30.64648,-87.1681,]
[,34.77052,-86.5989,]
[,31.43747,-87.39616,]
[,32.40635,-99.77485,]
[,39.79977,-77.03168,]
[,37.65525,-85.57992,]
[,36.19902,-86.83852,]
[,34.03188,-80.98148,]
[,41.92005,-85.51077,]
[,31.87808,-85.44741,]
[,34.89104,-82.53749,]
[,42.98877,-83.69309,]
[,35.41375,-81.20313,]
[,42.28791,-83.40618,]
[,39.54031,-77.98578,]
[,29.56445,-90.64699,]
[,36.34681,-83.30389,]
[,34.98238,-80.45524,]
[,34.55703,-90.90515,]
[,35.21716,-90.20818,]
[,42.47629,-92.28493,]
[,34.99139,-78.92368,]
[,27.49156,-99.45808,]
[,32.48928,-84.93159,]
[,29.58004,-95.51772,]
[,38.91083,-92.33883,]
[,31.95406,-81.30865,]
[,31.6291,-110.3355,]
[,43.0629,-74.34029,]
[,42.31636,-89.07734,]
[,36.02346,-77.76871,]
[,36.0892,-86.73261,]
[,35.65312,-97.5871,]
[,31.14023,-81.58477,]
[,41.17208,-81.85987,]
[,32.63261,-85.4342,]
[,41.54211,-81.53125,]
[,36.1091,-96.11743,]
[,40.15957,-85.38174,]
[,28.80694,-82.57642,]
[,35.50800606,-97.49392175,]
[,39.11679,-94.67216,]
[,35.17477,-85.32901,]
[,39.82476,-88.89445,]
[,42.09649439,-75.98346065,]
[,42.09229,-80.16605,]
[,39.53842,-82.41542,]
[,36.18964,-85.45266,]
[,39.12171,-84.14191,]
[,32.86061587,-96.85704709,]
[,42.11814,-80.02493,]
[,39.22352,-85.8771,]
[,40.01162,-80.7466,]
[,41.43502,-82.1633,]
[,26.60537589,-81.87189323,]
[,40.29866,-82.7046,]
[,28.00414,-81.72248,]
[,36.26649,-86.7568,]
[,31.05411,-95.12418,]
[,37.08389,-94.46312,]
[,43.21961,-86.23501,]
[,32.59662,-114.70705,]
[,32.05148,-95.5016,]
[,41.27095,-80.78038,]
[,36.05958,-78.92894,]
[,29.73019,-90.607,]
[,30.83504,-91.18726,]
[,35.14618,-81.97699,]
[,36.828,-87.50318,]
[,33.83005,-81.79736,]
[,29.94394,-93.9184,]
[,41.13848,-80.7689,]
[,34.49875,-85.84409,]
[,41.40731,-75.67834,]
[,32.52446,-84.92831,]
[,41.33746,-87.78543,]
[,33.20102,-79.99058,]
[,39.71411,-111.83616,]
[,36.24648,-77.95653,]
[,34.62359148,-98.44025303,]
[,40.45865,-76.92702,]
[,43.02153,-82.45643,]
[,32.7949,-83.66754,]
[,36.16325,-80.32762,]
[,31.25325656,-85.41015073,]
[,32.23236625,-84.30874098,]
[,41.32404,-80.72799,]
[,37.03995,-84.62668,]
[,34.86466,-92.11874,]
[,29.12441655,-81.00325379,]
[,27.46207,-99.47755,]
[,30.30067,-93.2016,]
[,43.03093,-77.74153,]
[,35.44981,-97.4455,]
[,40.68449,-84.15111,]
[,32.44646,-84.93034,]
[,35.64577,-81.26906,]
[,37.51673,-82.1531,]
[,30.01978,-93.84748,]
[,36.62273,-87.31817,]
[,37.24331,-90.96718,]
[,43.02303,-78.86104,]
[,42.50436,-92.40079,]
[,41.57992,-83.89746,]
[,35.2575,-81.25509,]
[,41.76074,-88.3224,]
[,30.72457,-86.12611,]
[,32.08713,-96.51884,]
[,40.1298,-86.22928,]
[,41.18754,-87.11977,]
[,41.19306392,-111.9711565,]
[,33.13078,-96.10914,]
[,30.91552,-88.59476,]
[,34.21821,-85.60213,]
[,33.97185,-81.14369,]
[,31.12011,-84.15765,]
[,37.23237,-80.00794,]
[,41.42820742,-78.55462535,]
[,33.40586,-79.92528,]
[,33.64482,-84.97066,]
[,37.31048,-81.25921,]
[,36.01334,-82.15586,]
[,36.16072,-95.93201,]
[,28.81776,-81.72469,]
[,43.56858,-86.03296,]
[,43.0889,-85.22445,]
[,42.54082,-96.36026,]
[,42.19318,-83.17975,]
[,32.56019,-94.8009,]
[,35.42774,-82.50196,]
[,30.26683,-89.73881,]
[,33.50573,-90.34076,]
[,43.61198,-84.29599,]
[,40.20648,-104.82315,]
[,36.1936,-86.62328,]
[,27.79709,-97.43791,]
[,35.95852,-78.25121,]
[,33.75156,-85.81411,]
[,40.74912,-81.8346,]
[,41.66655,-78.81207,]
[,42.61218,-82.89104,]
[,39.82714,-86.15928,]
[,41.5613,-90.61079,]
[,32.79505,-97.28984,]
[,32.34943,-90.17784,]
[,33.33688,-86.91577,]
[,33.63356,-86.7284,]
[,36.31671,-78.41091,]
[,35.66757,-88.82765,]
[,36.10706,-95.85111,]
[,43.96866,-83.95977,]
[,35.4258,-97.53031,]
[,37.96183,-76.77924,]
[,36.51949,-85.86195,]
[,43.2326,-77.19498,]
[,26.89235899,-82.02479211,]
[,35.65535,-88.12708,]
[,36.87581,-76.39876,]
[,38.78946,-84.60899,]
[,41.37222,-81.86727,]
[,27.99592,-82.5094,]
[,41.07204,-85.19202,]
[,38.16983,-87.78444,]
[,32.5241,-95.64208,]
[,39.3454,-80.0034,]
[,34.88018,-84.30375,]
[,40.56712,-75.33954,]
[,42.29898,-75.40895,]
[,41.49165,-87.55339,]
[,42.97924,-78.0041,]
[,29.91869,-90.05024,]
[,36.42522,-94.45316,]
[,40.79445,-79.2837,]
[,41.46741,-90.54531,]
[,32.99827,-87.62269,]
[,33.33588,-81.78805,]
[,30.7549,-98.67581,]
[,31.54028,-97.17873,]
[,38.82559,-90.06645,]
[,34.26167,-84.08137,]
[,34.89997,-82.31496,]
[,38.59838,-81.99593,]
[,36.75714,-86.21381,]
[,30.44018,-84.22672,]
[,39.82026,-78.71943,]
[,37.77533,-90.61779,]
[,32.70139,-100.9192,]
[,33.68438,-87.82731,]
[,34.51838,-83.52625,]
[,33.7237,-88.4129,]
[,33.11278,-90.04842,]
[,40.3917,-81.34206,]
[,33.43039,-93.99683,]
[,37.17004,-87.68762,]
[,32.59061,-96.6813,]
[,40.30825,-88.15349,]
[,43.11737,-85.55086,]
[,39.73185,-94.2342,]
[,36.91811,-76.19595,]
[,41.53821,-90.56958,]
[,38.2494,-89.74977,]
[,41.9213,-79.63345,]
[,38.02026,-77.99466,]
[,39.16301,-87.19482,]
[,30.95019,-95.91142,]
[,28.05492,-81.95372,]
[,34.36221,-98.30463,]
[,30.51106,-87.18529,]
[,45.56461,-88.89849,]
[,30.75906,-98.22442,]
[,33.17401,-96.49532,]
[,30.23211,-92.81831,]
[,35.7579,-90.31612,]
[,26.37254398,-98.80040697,]
[,35.30194,-77.78075,]
[,38.77791,-92.25205,]
[,41.97585,-91.71591,]
[,30.0468,-94.12704,]
[,37.73248,-87.12115,]
[,33.69613,-90.7199,]
[,30.28888,-89.78397,]
[,30.63682,-88.14141,]
[,34.9797,-101.90891,]
[,40.91233,-90.29102,]
[,34.7606518,-85.53114866,]
[,32.51866,-86.37042,]
[,33.09289,-86.86465,]
[,33.56433,-96.9123,]
[,34.09432,-83.76038,]
[,32.26487,-90.91825,]
[,38.1843,-91.94861,]
[,36.39464,-83.0116,]
[,33.27406,-85.84366,]
[,31.20385,-89.05441,]
[,31.6064,-89.19833,]
[,30.26968,-98.39857,]
[,36.99946,-93.62785,]
[,33.74736,-90.69827,]
[,43.21797,-78.67681,]
[,42.97219,-85.7669,]
[,37.52327981,-75.83190008,]
[,40.49801,-79.4482,]
[,28.21758585,-82.66595257,]
[,41.58832,-75.48815,]
[,31.73114,-89.97956,]
[,36.6775411,-93.86886742,]
[,32.37548,-82.58917,]
[,33.93410377,-84.72632951,]
[,41.84233,-79.14368,]
[,40.86118,-76.79088,]
[,41.34078,-75.97487,]
[,39.51469,-87.37926,]
[,39.00401,-93.95337,]
